Aquamarine;Mineral;;Mines;23
Bat Wing;Monster Loot;;Bat;19
Cheese;Artisan Goods;Cheese Press;Milk;12
Cloth;Artisan Goods;Loom;Wool;12
Copper Bar;Resource;Furnace;Copper Ore;20
Duck Egg;Animal Product;Big Coop;Duck;11
Duck Feather;Animal Product;Big Coop;Duck;23
Earth Crystal;Foraged Minerals;;Mines;21
Fire Quartz;Foraged Minerals;;Mines;21
Fried Egg;Cooking;Kitchen;Egg;22
Frozen Geode;Mineral;;Mines;24
Frozen Tear;Foraged Minerals;;Mines;21
Goat Cheese;Artisan Goods;Cheese Press;Goat Milk;12
Gold Bar;Resource;Furnace;Gold Ore;20
Honey;Artisan Goods;Bee House;;12
Iron Bar;Resource;Furnace;Iron Ore;20
Jelly;Artisan Goods;Preserves Jar;Fruit;12
Lagre Milk;Animal Product;Barn;Cow;11
Large Brown Egg;Animal Product;Coop;Chicken;11
Large Egg;Animal Product;Coop;Chicken;11
Large Goat Milk;Animal Product;Big Barn;Goat;11
Maki Roll;Cooking;Kitchen;Seaweed,Rice,Fish;22
Maple Syrup;Artisan Goods;Tapper;Maple Tree;22
Nautilus Shell;Forage;;Beach;24
Oak Resin;Artisan Goods;Tapper;Oak Tree;25
Quartz;Foraged Minerals;;Mines;21
Rabbit's Foot;Animal Product;Deluxe Coop;Rabbit;25
Slime;Monster Loot;;Slime;19
Solar Essence;Monster Loot;;Ghost/Squid Kid/Metal Head;19
Truffle;Animal Product;Deluxe Barn;Pig;22
Truffle Oil;Artisan Goods;Oil Maker;Truffle;12
Void Essence;Monster Loot;;Shadow Brute;19
Wine;Artisan Goods;Keg;Fruit;25
Wool;Animal Product;Deluxe Barn;Sheep;11
